caso,"Alessandro Dantas Coutinho e Ronald Kruger Rodor, Manual de Direito Administrativo",Antonio Cecílio Moreira Pires Direito Administrativo 2a Ed,Aragão Curso de Direito Administrativo 2a Ed,Bandeira de Mello Curso de Direito Administrativo 31a Ed,Diógenes Gasparini Direito Administrativo 17a Ed,Fernanda Marinela Direito Administrativo 11a Ed,Hely Lopes Meirelles Direito Administrativo Brasileira 42a Ed,Irene Patrícia Nohara Direito Administrativo 8a Ed,José dos Santos Carvalho Filho 28a Ed,Marcelo Alexandrino Direito Administrativo Descomplicado 25a Ed,Marcio Pestana Direito Administrativo Brasileiro 4a Ed,Maria Sylvia Zanella di Pietro 31a Ed,Marçal Justen Filho Curso de Direito Administrativo 12a Ed,Moreira Neto Curso de Direito Administrativo 16a Ed,Odete Medauar Curso de Direito Administrativo 21a Ed,Odete Medauar Odete Medauar Curso de Direito Administrativo 11a Ed,Reinaldo Couto Curso de Direito Administrativo 2a Ed,Ricardo Alexandre e João de Deus Direito Administrativo 4a Ed,citado,citacoes_total
re 543974,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,8
re 56937,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 57315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 579431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
re 590751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 61417,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 635336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,5
re 64559,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5
re 65532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 65559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 691912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 73591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
re 73594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
re 74717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 75918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 76296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 78501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 80845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 81151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
re 81515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 82300,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,5
re 82366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
re 85869,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
re 86502,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 87009,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
re 87168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 87559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 88363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 88699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 90581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 90656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 91508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 922144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 99528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
